Date;Credit Card Number;Credit Card Issuer;Amount Paid
2015-01-12;6011295867201712962;Discover;33.79
2015-01-12;6011553509677334;Discover;232.9
2015-01-16;341371120238442;American Express;195.95
2015-02-07;377796051599254;American Express;155.2
2015-02-15;5463767297588710;MasterCard;141.25
2015-02-19;4024007130417487;Visa;123.95
2015-03-01;6761452049377475;Maestro;106.8
2015-03-11;5514634317500837;MasterCard;54.12
2015-03-26;6011553509677334;Discover;76.13
2015-04-03;4508276608424524;VisaElectron;143.15
2015-04-14;5431706959239674;MasterCard;198.0
2015-05-12;5431706959239674;MasterCard;131.17
2015-05-13;4916062159381030321;unknown;56.25
2015-05-14;5463767297588710;MasterCard;151.52
2015-05-18;377796051599254;American Express;43.17
2015-05-23;6399740857537085;InstaPayment;67.05
2015-06-12;4844655195775443;VisaElectron;102.0
2015-07-02;378582511579550;American Express;260.0
2015-07-09;4916482508517922;Visa;97.5
2015-07-17;6378385228626566;InstaPayment;174.45
2015-08-17;6011223506501669;Discover;218.0
2015-08-19;6761808463694853;Maestro;110.0
2015-08-20;6378505180819368;InstaPayment;82.65
2015-09-06;4508850669250612;VisaElectron;260.3
2015-09-16;4844655195775443;VisaElectron;175.95
2015-09-23;6761452049377475;Maestro;127.16
2015-10-21;6759188074389225;Maestro;104.65
2015-11-10;4844655195775443;VisaElectron;112.87
2015-12-29;5431706959239674;MasterCard;98.7
